platform,market_focus,media,domain_candidate,access_code,access_interpretation,evidence,desktop_chrome,extension_support,notes,source_urls,source_titles,research_date
wedotv,France and pan-European services,Video,wedotv.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official editorial page describes free advertising-funded movies/series; privacy center documents video and ad events. Current territory and desktop playback remain untested.,https://blog.wedotv.com/en/article/what-is-avod ; https://wedotv.com/dsa/,What Is AVOD? Ad-Supported Streaming Explained | wedotv ; wedotv | privacy center,2026-09-06
Tivify,France and pan-European services,Video,tivify.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Spanish free/paid TV packages; verify current eligibility.,,,2026-09-06
SkyShowtime,France and pan-European services,Video,skyshowtime.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid Standard with Ads across relevant European markets.,https://corporate.skyshowtime.com/234778-skyshowtime-announces-introduction-of-new-standard-with-ads-plan/ ; https://corporate.skyshowtime.com/242082-skyshowtime-introduces-a-new-premium-subscription-plan/,SkyShowtime announces introduction of new Standard with Ads plan | SkyShowtime Newsroom ; SkyShowtime introduces a new Premium subscription plan | SkyShowtime Newsroom,2026-09-06
Joyn Germany,Germany Austria Switzerland,Video,joyn.de,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded service plus paid Joyn+; distinguish live from VOD.,https://www.joyn.de/joyn-plus ; https://www.joyn.de/bts/themen/service/warum-werbung-19845,Dein Joyn+ Abo abschließen | Joyn ; Warum Werbung?,2026-09-06
Joyn Austria,Germany Austria Switzerland,Video,joyn.at,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Owner explicitly documents Austria free ad-funded live/on-demand service and joyn.at access in May 2026. Separate from the German surface; actual player/ad behavior untested.,https://www.prosiebensat1puls4.com/n/sevenone-austria/,Seven.One Austria: Eine neue Marke für geballte Vermarktungspower der ProSiebenSat.1 PULS 4 Gruppe & JOYN Österreich,2026-09-06
RTL+ Germany,Germany Austria Switzerland,Video,plus.rtl.de,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official terms document Free with advertising; paid plans also differ.,https://assets.plus.rtl.de/bouncer/agb.html,AGB - Rechtliche Informationen für unsere Dienstleistungen | RTL+,2026-09-06
Zattoo,Germany Austria Switzerland,Video,zattoo.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded Germany/Switzerland; channel/device restrictions.,https://support.zattoo.com/hc/de/articles/34124449157010-Werbung-auf-Zattoo-mit-und-ohne-Abonnement ; https://support.zattoo.com/hc/en-us/articles/34277042164626-Zattoo-prices-and-features-at-a-glance,Werbung auf Zattoo – mit und ohne Abonnement – Zattoo Support ; Zattoo prices and features at a glance – Zattoo Support,2026-09-06
waipu.tv,Germany Austria Switzerland,Video,waipu.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free/paid TV candidate; some channels/device limits.,,,2026-09-06
ServusTV On,Germany Austria Switzerland,Video,servustv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free live/catch-up and sports candidate.,,,2026-09-06
ORF ON,Germany Austria Switzerland,Video,on.orf.at,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Public broadcaster; ad treatment and ORF contribution rules vary by content.,,,2026-09-06
RTLplay Luxembourg,Germany Austria Switzerland,Video,rtlplay.lu,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Local multilingual live/catch-up candidate.,,,2026-09-06
RaiPlay,Italy Spain Portugal,Video,raiplay.it,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free public-service VOD/live; verify commercial breaks at runtime.,https://www.rai.it/,Rai.it,2026-09-06
Mediaset Infinity Italy,Italy Spain Portugal,Video,mediasetinfinity.mediaset.it,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official GOLD feature reduces advertising interruptions on free content; Infinity+ entitlements separate.,https://help.mediasetinfinity.mediaset.it/hc/it/articles/24880779096977-Scopri-la-GOLD-experience,Scopri la GOLD experience – Mediaset Infinity,2026-09-06
La7,Italy Spain Portugal,Video,la7.it,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free broadcaster live/catch-up candidate.,,,2026-09-06
Mediaset Infinity Spain,Italy Spain Portugal,Video,mediasetinfinity.es,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Former Mitele; free catalog and digital advertising documented. Validate current redirects/hostname before code.,https://www.mediaset.es/comunicacion/corporativo/publiespana/20250624/publiespana-ad-infinity_18_015948269.html,"Publiespaña revoluciona la publicidad digital con Ad Infinity, nueva solución integrada en la nueva plataforma Mediaset Infinity",2026-09-06
Atresplayer,Italy Spain Portugal,Video,atresplayer.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"May 2026 official plan article confirms registered free content/live with pre-roll advertising, alongside paid plans. Free catalog is limited; territory and player behavior still need testing.",https://suscripcion.atresplayer.com/hazte-premium/nac/primer/ ; https://www.atresplayer.com/actualidad/cuanto-cuesta-atresplayer-que-planes-ofrece_202605226a108c283ce3f96345d11ea6.html,"Suscripción Atresplayer Premium: Planes y precio ; Todos los planes de suscripción que ofrece atresplayer desde 5,99 euros",2026-09-06
3Cat,Italy Spain Portugal,Video,3cat.cat,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Catalan broadcaster; verify sponsorship/commercial placements.,,,2026-09-06
À Punt,Italy Spain Portugal,Video,apuntmedia.es,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Valencian broadcaster live/catch-up candidate.,,,2026-09-06
EITB Primeran,Italy Spain Portugal,Video,primeran.eus,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Basque streamer; don't assume commercial ads.,,,2026-09-06
RTP Play,Italy Spain Portugal,Video,rtp.pt,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Portuguese public broadcaster; verify ads by program/live channel.,,,2026-09-06
OPTO SIC,Italy Spain Portugal,Video,opto.sic.pt,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free versus paid content and ad behavior need verification.,,,2026-09-06
TVI Player,Italy Spain Portugal,Video,tviplayer.iol.pt,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Portuguese broadcaster catch-up/live candidate.,,,2026-09-06
NPO Start,Benelux,Video,npostart.nl,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Free/Plus structure; source confirms ad-free Plus, runtime free-tier ads need check.",https://npostart.nl/POW_03915587,Wind River | NPO Start,2026-09-06
